County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Winneshiek County, Iowa(7)"	19191	31.1	21.5	43.7	8	*	*	*	*
"Calvert County, Maryland(6,10)"	24009	31.1	26.1	36.9	29	stable	-7.4	-25.6	15.1
"Brevard County, Florida(6,10)"	12009	31.1	29.3	33	242	rising	12.6	5.3	20.5
"Ontario County, New York(6,10)"	36069	31.1	26.8	35.9	42	stable	5.4	-0.1	11.1
"Washington County, Nebraska(6,10)"	31177	31.1	21.3	43.8	7	stable	17.9	-16.9	67.4
"Orange County, Vermont(6,10)"	50017	31.1	23	41.2	11	stable	24.6	-16.1	84.9
"McLean County, Illinois(6,10)"	17113	31	27.2	35.2	51	stable	7.5	-1.6	17.5
"Butte County, California(7,8)"	6007	31	27.9	34.4	80	rising	5.2	3.2	7.2
"Deer Lodge County, Montana(6,10)"	30023	31	17.2	51.8	3	*	*	*	*
"Windham County, Vermont(6,10)"	50025	30.9	24.4	38.8	17	stable	4.5	-23.3	42.3
"York County, Maine(6,10)"	23031	30.9	27.9	34.2	80	stable	2.2	-2.2	6.7
"Delaware County, Iowa(7,8)"	19055	30.9	20.3	45.1	6	rising	4.3	1.6	7.1
"Oldham County, Kentucky(7,8)"	21185	30.9	24.8	38	20	stable	1.7	-1.3	4.9
"Coos County, New Hampshire(6,10)"	33007	30.9	23.1	40.5	12	stable	4.3	-5.7	15.4
"Edgar County, Illinois(6,10)"	17045	30.9	21.2	43.7	7	stable	18.9	-28.5	97.8
"Auglaize County, Ohio(6,10)"	39011	30.9	24.4	38.5	17	stable	7	-8.8	25.7
"Juniata County, Pennsylvania(6,10)"	42067	30.9	22.1	41.9	9	stable	-2.4	-39.7	57.8
"Greenbrier County, West Virginia(6,10)"	54025	30.8	23.6	39.6	14	stable	0.6	-37.9	63.1
"Clinton County, Kentucky(7)"	21053	30.8	17.7	50	4	*	*	*	*
"Colonial Heights City, Virginia(6,10)"	51570	30.8	21.6	43.1	8	stable	10.8	-23.2	59.9
"Pend Oreille County, Washington(6,10)"	53051	30.8	19	47.7	5	stable	-1.7	-33.2	44.7
"Chickasaw County, Iowa(7)"	19037	30.8	18.2	48.7	4	*	*	*	*
"Yancey County, North Carolina(6,10)"	37199	30.8	21.4	43.4	8	stable	1.7	-17.6	25.6
"Spencer County, Kentucky(7,8)"	21215	30.8	20.2	45.1	6	stable	4.1	-3	11.7
"Kalkaska County, Michigan(6,10)"	26079	30.8	20.6	44.4	6	stable	10.1	-28.8	70.3
"Cumberland County, Tennessee(6,10)"	47035	30.7	25.3	37.1	28	stable	-5.3	-14	4.3
"Russell County, Kentucky(7,8)"	21207	30.6	20.6	43.9	6	stable	0.2	-5.9	6.7
"Irwin County, Georgia(7)"	13155	30.6	17.6	49.7	3	*	*	*	*
"Beadle County, South Dakota(6,10)"	46005	30.6	20.2	44.4	6	stable	14.8	-45.8	143.2
"Surry County, North Carolina(6,10)"	37171	30.6	25.5	36.4	28	stable	-0.4	-13.3	14.5
"Benzie County, Michigan(6,10)"	26019	30.6	21	43.4	8	stable	-3	-50.1	88.8
"Bucks County, Pennsylvania(6,10)"	42017	30.6	28.8	32.4	237	stable	2.5	-0.1	5.2
"Laurel County, Kentucky(7,8)"	21125	30.5	24.6	37.3	20	rising	5.9	2.6	9.3
"Middlesex County, Virginia(6,10)"	51119	30.5	18.7	48	5	stable	7.5	-29.6	64.2
"Bennington County, Vermont(6,10)"	50003	30.4	23.9	38.4	16	stable	3	-6.5	13.6
"Cullman County, Alabama(6,10)"	1043	30.4	25.6	35.9	30	stable	-6.4	-27.6	21
"Ada County, Idaho(6,10)"	16001	30.4	28	32.9	125	stable	4.3	-1.3	10.1
"Calumet County, Wisconsin(6,10)"	55015	30.3	23.8	38	16	stable	2.9	-23.6	38.5
"Elmore County, Alabama(6,10)"	1051	30.3	25.2	36.1	26	stable	1.9	-7.9	12.7
"Franklin County, Georgia(7,8)"	13119	30.3	21.6	41.6	8	rising	6.5	0.5	12.8
"Napa County, California(7,8)"	6055	30.3	26.6	34.3	52	stable	1.7	-8.7	13.3
"Marion County, Arkansas(6,10)"	5089	30.3	20.2	44	7	stable	4.7	-31.4	59.9
